,,,,,,,,,,,,,,,,,
GRAMMAIRES,,,,,,,,,,,,,,,,,
BBB Read Me,,,,,,,,,,,,,,,,,
9,Sa/Son,Déterminant possessif,Invariable,So,Invariable,So,so,So,so,So,so,So,so,So,so,So,so
10,Amant/Amante,Substantif,ant/ante,Amanl,anl,Amanelol,a.ma.nə.lɔl,Amol,a.mɔl,Amanl,a.mɑ̃l,Amanl,a.mɑ̃l,Amanl,a.mɑ̃l,Amanl,a.mɑ̃l
11,Ancien/Ancienne,Substantif,en/enne,Anciol,ol,Yunankiol,jy.nɑ̃.kjɔl,Anciol,ɑ̃.sjɔl,Anciol,ɑ̃.sjɔl,Anciol,ɑ̃.sjɔl,Anciol,ɑ̃.sjɔl,Anciol,ɑ̃.sjɔl
12,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissiol,iol,Pâtissiol,pa.ti.sjɔl,Pâtissiol,pa.ti.sjɔl,Pâtissiol,pa.ti.sjɔl,Pâtissiol,pa.ti.sjɔl,Pâtissiol,pa.ti.sjɔl,Pâtissiol,pa.ti.sjɔl
13,Reconverti/Reconvertie,Substantif,i/ie,Reconvertix,ix,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks,Reconvertix ,ʁə.kɔ̃.vɛʁ.tiks
,,,,,,p1_pc_acadam_ep2,,p2_sc_acadam_ep2,,p3_mc_acadam_ep2,,p4_eb_acadam_ep2,,p5_zm_acadam_ep2,,p6_nc_acadam_ep2,
BBB Read Me,,,,,,,,,,,,,,,,,
Système AL,,,,,,P1 - PC,,P2 - SC,,P3 - MC,,P4 - EB,,P5 – ZM,,P6 – NC,
,Mot original,Déterminant,Terminaison,Mot post-binaire,Terminaison,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API
"Dorothy Allison, Bastard out of Carolina",,,,,,,,,,,,,,,,,
1,Mon/Ma,Déterminant possessif,Invariable,Mu,Invariable,Mo,mo,Mu,my,Mu,my,Mu,my,Mu,my,Mu,my
2,Oncle/Tante,Titre,Invariable,Parfroeur,Invariable,Parfroheur,paʁ.fʁɔ.œʁ,Parfreur,paʁ.fʁœʁ,Parfroheur,paʁ.fʁɔ.œʁ,Parfroheur,paʁ.fʁɔ.œʁ,Pafreur,pa.fʁœʁ,Pafreur,pa.fʁœʁ
3,Un/Une,Article indéfini,Invariable,An,Invariable,Ane,an,An,an,An,an,Ane,an,Ane,an,An ,ɑ̃
4,Général/Générale,Substantif,al/ale ,Généralx,alx,Généralèx,ʒe.ne.ʁa.lɛks,Généralix,ʒe.ne.ʁa.liks,Généralax,ʒe.ne.ʁa.laks,Généralix,ʒe.ne.ʁa.liks,Généralix,ʒe.ne.ʁa.liks,Généralx,ʒe.ne.ʁa.lks
5,Lui/Elle,Pronom personnel COI,Invariable,Al,Invariable,Al,al,Al,al,Al,al,Al,al,Al,al,Al,al
