,,,,,,,,,,,,,,,
TYPOGRAPHIES,,,,,,,,,,,,,,,
BBB Open Sans,,,,,,,,,,,,,,,
3,Cuisinier/Cuisinière,Substantif,ier/ière,Cuisinier̭ẹ̀re,ier̭ẹ̀re,Cuisinière,kɥi.zi.njɛʁ,Cuisinièrère,kɥi.zi.njɛ.ʁɛʁ,Cuisinièreu,kɥi.zi.njɛʁ.ø,Cuisinièrère,kɥi.zi.njɛ.ʁɛʁ,Cuisinière,kɥi.zi.njɛʁ
4,Serveur/Serveuse,Substantif,eur/euse,Serveur̭ẹuse,eur̭ẹuse,Serveuse,sɛʁ.vøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz,Serveureuse,sɛʁ.vœ.ʁøz
5,Maitre/Maitresse,Substantif,e/esse,Maîtrḙṣse ,ḙṣse ,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs,Maitresse,mɛ.tʁɛs
6,Un/Une,Article indéfini,Invariable,Uṋẹ,Invariable,Une,yn,Une,yn,Une,yn,Un/une,œ̃/yn,Une,yn
7,Client/Cliente,Substantif,ent/ente,Clienṱẹ,enṱẹ,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Cliente,kli.jɑ̃t,Clienteu,kli.jɑ̃t.ø,Cliente,kli.jɑ̃t
8,Accompagné/Accompagnée,Substantif,é/ée,Accompagnḙ́ẹ,ḙ́ẹ,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe
9,Sa/Son,Déterminant possessif,Invariable,Sạo̭n,Invariable,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃
10,Amant/Amante,Substantif,ant/ante,Amanṱẹ,anṱẹ,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t
11,Ancien/Ancienne,Substantif,en/enne,Ancieṋṇe,eṋṇe,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn
12,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissier̭ẹ̀re,ier̭ẹ̀re,Pâtissière,pa.ti.sjɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissièreu,pa.ti.sjɛʁ.ø,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissière ,pa.ti.sjɛʁ
13,Reconverti/Reconvertie,Substantif,i/ie,Reconverti̭ẹ,i̭ẹ,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti
,,,,,,p1_pc_bbb-readme_diacritique_ep2,,p2_sc_bbb-readme_diacritique_ep2,,p4_eb_bbb-readme_diacritique_ep2,,p5_zm_bbb-readme_diacritique_ep2,,p6_nc_bbb-readme_diacritique_ep2,
Adelphe - Floreal,,,,,,,,,,,,,,,
Diacritiques (mauvais affichage),,,,,,P1 - PC,,P2 - SC,,P4 - EB,,P5 – ZM,,P6 – NC,
,Mot original,Déterminant,Terminaison,Mot post-binaire,Terminaison,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API
"Dorothy Allison, Bastard out of Carolina",,,,,,,,,,,,,,,
1,Mon/Ma,Déterminant possessif,Invariable,Mạo̭n,Invariable,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃
2,Oncle/Tante,Titre,Invariable,Ṭanc̭le,Invariable,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl
3,Un/Une,Article indéfini,Invariable,Uṋẹ,Invariable,Une,yn,Une,yn,Une,yn,Un/une,œ̃/yn,Une,yn
